,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
336,108/06/18,"12,680,731","532,948,693",41.80,42.20,41.75,42.20,+0.55,"5,100"
337,108/06/19,"20,430,500","866,592,364",42.25,42.60,42.20,42.55,+0.35,"7,185"
338,108/06/20,"14,848,302","631,073,301",42.70,42.70,42.30,42.55, 0.00,"4,467"
339,108/06/21,"15,049,222","637,519,551",42.55,42.55,42.30,42.30,-0.25,"3,617"
340,108/06/24,"10,500,287","444,522,163",42.30,42.55,42.05,42.55,+0.25,"3,068"
341,108/06/25,"9,548,993","406,617,699",42.55,42.70,42.45,42.60,+0.05,"2,855"
342,108/06/26,"11,793,038","504,256,338",42.70,42.90,42.60,42.75,+0.15,"4,054"
343,108/06/27,"28,106,576","1,212,244,873",42.75,43.35,42.75,43.20,+0.45,"7,511"
344,108/07/01,"29,094,054","1,231,505,725",42.00,42.70,42.00,42.70,X0.00,"8,262"
345,108/07/02,"14,906,409","634,334,924",42.60,42.80,42.30,42.65,-0.05,"4,280"
346,108/07/03,"15,257,639","645,637,585",42.55,42.55,42.20,42.25,-0.40,"4,642"
347,108/07/04,"10,826,004","460,319,201",42.45,42.80,42.30,42.50,+0.25,"3,989"
348,108/07/05,"9,154,823","387,856,066",42.55,42.60,42.20,42.35,-0.15,"4,040"
349,108/07/08,"13,818,722","580,216,874",42.20,42.30,41.80,41.95,-0.40,"5,217"
350,108/07/09,"8,909,473","372,995,978",42.00,42.05,41.70,41.85,-0.10,"3,999"
351,108/07/10,"13,608,056","572,364,574",42.10,42.25,41.90,42.20,+0.35,"5,047"
352,108/07/11,"10,335,768","434,012,996",42.20,42.25,41.90,41.95,-0.25,"3,537"
353,108/07/12,"14,136,813","590,021,588",41.90,41.95,41.60,41.60,-0.35,"5,532"
354,108/07/15,"13,063,572","544,280,918",41.65,41.90,41.50,41.65,+0.05,"3,395"
355,108/07/16,"15,324,463","637,212,959",41.65,41.70,41.50,41.55,-0.10,"4,863"
356,108/07/17,"19,757,195","817,438,461",41.45,41.50,41.30,41.30,-0.25,"6,886"
357,108/07/18,"15,568,019","640,778,799",41.40,41.40,41.05,41.10,-0.20,"5,279"
358,108/07/19,"11,955,143","492,815,756",41.35,41.40,41.05,41.05,-0.05,"4,257"
359,108/07/22,"13,213,736","544,416,435",41.10,41.40,41.05,41.40,+0.35,"4,255"
360,108/07/23,"9,902,498","408,648,972",41.30,41.35,41.20,41.20,-0.20,"2,913"
361,108/07/24,"11,270,040","464,501,169",41.20,41.40,41.10,41.15,-0.05,"3,506"
362,108/07/25,"8,133,285","335,173,866",41.15,41.30,41.10,41.20,+0.05,"2,944"
363,108/07/26,"7,162,592","294,730,355",41.20,41.25,41.10,41.15,-0.05,"3,007"
364,108/07/29,"7,393,479","304,625,748",41.10,41.35,41.10,41.20,+0.05,"2,242"
365,108/07/30,"7,615,496","313,439,598",41.20,41.30,41.10,41.10,-0.10,"2,522"
366,108/08/01,"15,173,227","614,955,459",40.55,40.70,40.45,40.50,-0.30,"6,198"
367,108/08/02,"22,896,038","917,606,247",40.15,40.20,40.00,40.10,-0.40,"8,681"
368,108/08/05,"19,242,360","769,563,202",40.00,40.05,39.95,39.95,-0.15,"9,228"
369,108/08/06,"19,446,083","770,249,817",39.50,40.10,39.10,39.90,-0.05,"7,620"
370,108/08/07,"22,323,704","887,534,560",39.90,39.90,39.60,39.80,-0.10,"9,518"
371,108/08/08,"8,640,374","345,435,963",39.85,40.15,39.85,39.95,+0.15,"3,068"
372,108/08/12,"15,566,634","624,943,574",39.95,40.40,39.85,40.00,+0.05,"5,333"
373,108/08/13,"17,816,173","710,700,170",39.95,40.00,39.80,39.80,-0.20,"7,467"
374,108/08/14,"10,332,734","412,131,310",40.00,40.05,39.75,39.75,-0.05,"4,574"
375,108/08/15,"18,767,886","739,384,437",39.50,39.50,39.30,39.35,-0.40,"7,466"
376,108/08/16,"50,531,064","1,982,759,955",39.10,40.00,38.85,39.55,+0.20,"17,707"
377,108/08/19,"14,574,796","582,143,019",39.80,40.05,39.60,40.00,+0.45,"5,840"
378,108/08/20,"14,145,626","562,880,390",39.95,39.95,39.70,39.70,-0.30,"4,934"
379,108/08/21,"9,576,327","379,576,385",39.70,39.75,39.50,39.50,-0.20,"4,137"
380,108/08/22,"9,174,997","362,468,138",39.50,39.70,39.40,39.45,-0.05,"3,759"
381,108/08/23,"8,397,074","334,090,860",39.50,39.90,39.50,39.85,+0.40,"3,588"
382,108/08/26,"10,849,903","427,653,995",39.50,39.60,39.30,39.50,-0.35,"5,019"
383,108/08/27,"17,845,451","709,290,659",39.70,39.80,39.65,39.75,+0.25,"3,216"
384,108/08/28,"9,003,605","359,462,950",39.80,40.00,39.75,39.95,+0.20,"2,941"
385,108/08/29,"10,433,823","412,798,333",39.90,39.90,39.45,39.50,-0.45,"4,205"
386,108/09/02,"6,445,306","257,932,590",40.10,40.15,39.95,39.95,-0.20,"2,919"
387,108/09/03,"8,928,103","356,812,970",39.90,40.15,39.80,39.80,-0.15,"3,369"
388,108/09/04,"9,403,233","375,920,570",39.70,40.10,39.70,39.95,+0.15,"3,109"
389,108/09/05,"18,930,179","763,896,455",40.00,40.50,40.00,40.50,+0.55,"6,332"
390,108/09/06,"17,066,979","693,907,693",40.50,40.90,40.35,40.80,+0.30,"5,933"
391,108/09/09,"11,918,088","487,818,131",40.60,41.10,40.60,40.95,+0.15,"4,763"
392,108/09/10,"15,585,909","644,356,980",41.20,41.50,41.15,41.40,+0.45,"6,147"
393,108/09/11,"16,562,778","685,057,512",41.60,41.60,41.20,41.40, 0.00,"7,295"
394,108/09/12,"15,207,650","631,526,903",41.50,41.60,41.40,41.50,+0.10,"5,952"
395,108/09/16,"10,352,440","429,976,212",41.50,41.65,41.50,41.55,+0.05,"3,610"
396,108/09/17,"13,788,834","573,108,928",41.60,41.70,41.40,41.65,+0.10,"4,254"
397,108/09/18,"10,525,982","438,754,149",41.70,41.75,41.60,41.75,+0.10,"4,210"
398,108/09/19,"11,511,882","481,047,816",41.80,41.85,41.70,41.85,+0.10,"4,076"
399,108/09/20,"20,211,380","841,284,338",41.85,41.95,41.40,41.55,-0.30,"5,114"
400,108/09/23,"7,367,005","303,942,317",41.45,41.50,41.15,41.15,-0.40,"3,945"
401,108/09/24,"11,634,070","482,483,288",41.15,41.60,41.05,41.60,+0.45,"5,057"
402,108/09/25,"9,977,385","412,775,555",41.55,41.65,41.15,41.45,-0.15,"5,159"
403,108/09/26,"11,833,633","490,255,522",41.30,41.75,41.20,41.20,-0.25,"4,357"
404,108/10/01,"13,331,815","550,433,182",41.25,41.50,41.05,41.25,+0.35,"5,089"
405,108/10/02,"9,121,264","373,980,502",40.90,41.10,40.90,40.90,-0.35,"4,969"
406,108/10/03,"12,697,913","512,695,332",40.50,40.50,40.30,40.30,-0.60,"5,768"
407,108/10/04,"11,329,405","458,211,630",40.30,40.60,40.25,40.60,+0.30,"3,275"
408,108/10/07,"6,274,416","254,023,267",40.60,40.65,40.30,40.40,-0.20,"2,703"
409,108/10/08,"12,603,298","512,824,117",40.40,40.90,40.35,40.50,+0.10,"4,575"
410,108/10/09,"8,143,111","330,238,847",40.50,40.70,40.45,40.55,+0.05,"2,841"
411,108/10/14,"14,224,045","579,020,156",40.70,40.80,40.65,40.65,X0.00,"5,535"
412,108/10/15,"12,627,037","512,918,018",40.70,40.80,40.55,40.55,-0.10,"3,781"
413,108/10/16,"20,969,890","858,981,590",40.60,41.20,40.60,41.10,+0.55,"6,673"
414,108/10/17,"15,706,907","645,181,559",41.10,41.30,40.85,41.30,+0.20,"5,684"
415,108/10/18,"20,466,972","843,331,417",41.30,41.30,40.95,41.30, 0.00,"5,213"
416,108/10/21,"9,420,706","388,620,590",41.20,41.30,41.10,41.30, 0.00,"3,663"
417,108/10/22,"16,452,876","681,219,263",41.40,41.60,41.25,41.50,+0.20,"5,027"
418,108/10/23,"14,755,853","605,980,023",41.15,41.20,40.95,40.95,-0.55,"5,524"
419,108/10/24,"12,112,462","496,904,705",40.95,41.15,40.95,41.15,+0.20,"3,962"
420,108/10/25,"11,772,072","483,984,448",41.20,41.30,41.00,41.00,-0.15,"3,338"
421,108/10/28,"12,650,557","519,473,337",41.10,41.20,41.00,41.00, 0.00,"3,419"
422,108/10/29,"13,168,213","541,356,594",41.10,41.20,41.00,41.15,+0.15,"3,977"
423,108/10/30,"20,506,768","838,956,453",41.15,41.20,40.80,40.85,-0.30,"7,254"
424,108/11/01,"20,930,464","842,683,544",40.30,40.45,40.10,40.10,-0.20,"6,736"
425,108/11/04,"18,179,062","738,382,942",40.30,40.95,40.20,40.95,+0.85,"6,612"
426,108/11/05,"26,898,846","1,111,124,943",41.10,41.45,41.10,41.45,+0.50,"9,042"
427,108/11/06,"80,517,127","3,426,804,134",41.55,43.00,41.50,43.00,+1.55,"26,362"
428,108/11/07,"47,172,115","2,038,788,237",43.20,43.75,42.85,42.90,-0.10,"14,939"
429,108/11/08,"23,896,264","1,020,960,944",43.20,43.25,42.50,42.70,-0.20,"7,509"
430,108/11/11,"23,329,481","990,248,559",42.70,42.80,42.05,42.25,-0.45,"7,691"
431,108/11/12,"22,591,949","968,062,697",42.60,43.15,42.60,42.80,+0.55,"7,500"
432,108/11/13,"12,282,667","521,292,246",42.60,42.75,42.30,42.35,-0.45,"4,672"
433,108/11/14,"10,692,102","450,938,758",42.35,42.35,42.05,42.15,-0.20,"4,041"
434,108/11/15,"12,497,975","531,123,211",42.50,42.65,42.30,42.55,+0.40,"4,242"
435,108/11/18,"14,582,421","623,101,884",42.60,42.80,42.60,42.75,+0.20,"4,792"
436,108/11/19,"12,847,598","547,368,204",42.60,42.75,42.30,42.70,-0.05,"4,838"
437,108/11/20,"12,098,506","511,832,603",42.40,42.45,42.20,42.30,-0.40,"4,054"
438,108/11/21,"12,021,077","505,031,724",42.10,42.15,41.90,42.05,-0.25,"3,806"
439,108/11/22,"8,424,311","355,169,375",42.10,42.40,41.95,42.40,+0.35,"2,766"
440,108/11/25,"14,041,803","596,710,085",42.50,42.55,42.40,42.50,+0.10,"5,325"
